epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,3027.66,1.22247,1.37019,1.37707,0.66924,0.64248,0.65454,0.44527,1.22427,1.10411,1.35288,0.0003763,0.0003763,0.0003763
128,3051.1,1.22367,1.37315,1.37737,0.72142,0.62826,0.66509,0.44935,1.20933,1.09104,1.35702,0.00037135,0.00037135,0.00037135
129,3074.72,1.21981,1.35755,1.37886,0.69877,0.59918,0.65224,0.44125,1.21138,1.10113,1.34874,0.0003664,0.0003664,0.0003664
130,3098.53,1.22632,1.36808,1.37904,0.7023,0.63093,0.65953,0.44374,1.22956,1.07165,1.36434,0.00036145,0.00036145,0.00036145
131,3122.61,1.22881,1.37078,1.37634,0.73358,0.61216,0.65491,0.45187,1.22004,1.08931,1.35063,0.0003565,0.0003565,0.0003565
132,3146.47,1.20435,1.36007,1.37611,0.69324,0.60502,0.6417,0.4361,1.23245,1.09995,1.35145,0.00035155,0.00035155,0.00035155
133,3170.12,1.21651,1.36553,1.38,0.6746,0.61879,0.65377,0.43962,1.23809,1.11963,1.37749,0.0003466,0.0003466,0.0003466
134,3193.96,1.22536,1.36983,1.37405,0.71784,0.63647,0.64881,0.43334,1.23657,1.12108,1.37392,0.00034165,0.00034165,0.00034165
135,3217.66,1.20934,1.33094,1.36489,0.67642,0.64106,0.6461,0.43472,1.22127,1.12137,1.36104,0.0003367,0.0003367,0.0003367
136,3241.47,1.21221,1.35378,1.37898,0.71263,0.60933,0.63262,0.43294,1.2081,1.12166,1.33739,0.00033175,0.00033175,0.00033175
137,3265.21,1.21226,1.34036,1.36844,0.67913,0.64057,0.63446,0.43064,1.22153,1.14852,1.34518,0.0003268,0.0003268,0.0003268
138,3288.97,1.19668,1.31532,1.35602,0.68997,0.61695,0.65666,0.44593,1.19509,1.09728,1.32837,0.00032185,0.00032185,0.00032185
139,3312.56,1.20062,1.32289,1.36027,0.65751,0.64901,0.66604,0.45854,1.19901,1.0949,1.34666,0.0003169,0.0003169,0.0003169
140,3336.25,1.20025,1.31738,1.36248,0.72495,0.61905,0.6584,0.45073,1.19599,1.08964,1.34454,0.00031195,0.00031195,0.00031195
141,3360.06,1.21044,1.33696,1.36579,0.71739,0.61564,0.65367,0.45341,1.21376,1.08593,1.34494,0.000307,0.000307,0.000307
142,3383.87,1.19993,1.32523,1.36105,0.65214,0.66796,0.6542,0.45407,1.22048,1.09007,1.33948,0.00030205,0.00030205,0.00030205
143,3407.65,1.19057,1.31356,1.34978,0.69793,0.67208,0.66962,0.46252,1.2084,1.08075,1.33455,0.0002971,0.0002971,0.0002971
144,3431.55,1.19827,1.32283,1.36036,0.72794,0.63223,0.65775,0.46502,1.19586,1.07542,1.3352,0.00029215,0.00029215,0.00029215
145,3455.45,1.20029,1.33265,1.3668,0.74526,0.60605,0.65818,0.46475,1.20735,1.11029,1.34051,0.0002872,0.0002872,0.0002872
146,3479.14,1.19474,1.3196,1.3577,0.74314,0.59911,0.6561,0.45897,1.20652,1.11598,1.3493,0.00028225,0.00028225,0.00028225
147,3502.85,1.18299,1.3059,1.34826,0.68342,0.62043,0.6393,0.44787,1.2054,1.11486,1.35109,0.0002773,0.0002773,0.0002773
148,3526.66,1.1844,1.29605,1.351,0.68453,0.63661,0.64395,0.45476,1.18977,1.09916,1.3352,0.00027235,0.00027235,0.00027235
149,3550.41,1.1827,1.31143,1.3543,0.68624,0.61444,0.64594,0.45263,1.19867,1.10187,1.3394,0.0002674,0.0002674,0.0002674
150,3574.02,1.17498,1.28427,1.34621,0.7183,0.60627,0.66211,0.44797,1.21196,1.1004,1.34744,0.00026245,0.00026245,0.00026245
151,3597.59,1.17444,1.29468,1.33739,0.68978,0.60607,0.63824,0.44989,1.20283,1.12294,1.33257,0.0002575,0.0002575,0.0002575
152,3621.15,1.17448,1.30855,1.35002,0.68877,0.64196,0.64281,0.45002,1.19034,1.11628,1.3261,0.00025255,0.00025255,0.00025255
153,3644.7,1.17271,1.28548,1.33895,0.68544,0.63953,0.6526,0.45262,1.20149,1.12036,1.33607,0.0002476,0.0002476,0.0002476
154,3668.19,1.1756,1.28566,1.33897,0.72962,0.62126,0.6555,0.44924,1.18854,1.1063,1.32794,0.00024265,0.00024265,0.00024265
155,3691.76,1.15663,1.26025,1.32541,0.63623,0.66511,0.65069,0.44734,1.21755,1.07859,1.35734,0.0002377,0.0002377,0.0002377
156,3715.38,1.16978,1.27674,1.33535,0.66565,0.64117,0.6517,0.44299,1.22653,1.10306,1.35118,0.00023275,0.00023275,0.00023275
157,3738.93,1.17944,1.29328,1.3484,0.71185,0.60847,0.65922,0.44382,1.21226,1.09447,1.35014,0.0002278,0.0002278,0.0002278
158,3762.46,1.17378,1.26924,1.33583,0.65731,0.66945,0.6588,0.46072,1.18755,1.0896,1.32052,0.00022285,0.00022285,0.00022285
159,3786.05,1.15743,1.27105,1.33858,0.68603,0.66813,0.66304,0.45892,1.1736,1.07474,1.3119,0.0002179,0.0002179,0.0002179
160,3809.55,1.15754,1.26027,1.33332,0.67528,0.66148,0.66396,0.45379,1.19571,1.1009,1.33486,0.00021295,0.00021295,0.00021295
161,3833.03,1.14827,1.25468,1.31842,0.67243,0.65723,0.65485,0.4569,1.18751,1.11284,1.32311,0.000208,0.000208,0.000208
162,3856.6,1.14924,1.26298,1.3289,0.63737,0.67096,0.65223,0.44938,1.1927,1.11813,1.32968,0.00020305,0.00020305,0.00020305
163,3880.06,1.16067,1.26687,1.33077,0.653,0.66876,0.65383,0.45132,1.19177,1.10938,1.32348,0.0001981,0.0001981,0.0001981
164,3903.78,1.14683,1.23716,1.3152,0.72271,0.60942,0.64441,0.4518,1.16944,1.09219,1.3094,0.00019315,0.00019315,0.00019315
165,3927.34,1.14193,1.24037,1.32155,0.67176,0.61599,0.64856,0.45414,1.16828,1.12019,1.31336,0.0001882,0.0001882,0.0001882
166,3950.91,1.15342,1.2492,1.3315,0.64719,0.66331,0.64991,0.4494,1.17634,1.0863,1.31836,0.00018325,0.00018325,0.00018325
167,3974.42,1.14604,1.23046,1.32573,0.67945,0.65771,0.65762,0.44933,1.17769,1.0949,1.32015,0.0001783,0.0001783,0.0001783
168,3998.03,1.14925,1.25154,1.32756,0.71304,0.61612,0.65437,0.44965,1.19158,1.08661,1.33135,0.00017335,0.00017335,0.00017335
169,4021.63,1.15356,1.25922,1.32884,0.70455,0.63108,0.66286,0.45792,1.19033,1.08695,1.32869,0.0001684,0.0001684,0.0001684
170,4045.25,1.13942,1.2432,1.3208,0.68822,0.63481,0.65528,0.45749,1.18421,1.08493,1.32486,0.00016345,0.00016345,0.00016345
171,4068.81,1.15329,1.2592,1.33315,0.7173,0.61624,0.65567,0.45584,1.17872,1.07343,1.32484,0.0001585,0.0001585,0.0001585
172,4092.77,1.13857,1.24018,1.32394,0.67193,0.67066,0.6506,0.45387,1.19646,1.0789,1.32907,0.00015355,0.00015355,0.00015355
173,4116.42,1.13904,1.21449,1.31209,0.69378,0.64999,0.65188,0.45524,1.17821,1.11565,1.31585,0.0001486,0.0001486,0.0001486
174,4140.07,1.14573,1.24752,1.32219,0.66677,0.65753,0.65059,0.45123,1.17802,1.09084,1.3188,0.00014365,0.00014365,0.00014365
175,4163.85,1.13758,1.21949,1.31324,0.70617,0.63479,0.64847,0.44622,1.19385,1.09633,1.32411,0.0001387,0.0001387,0.0001387
176,4187.63,1.13141,1.211,1.30996,0.71171,0.61788,0.64148,0.44833,1.18031,1.09715,1.31553,0.00013375,0.00013375,0.00013375
177,4211.35,1.13302,1.22245,1.31245,0.70413,0.63817,0.64435,0.45441,1.19293,1.10299,1.32551,0.0001288,0.0001288,0.0001288
178,4235.41,1.11958,1.21943,1.31445,0.70138,0.6353,0.64713,0.45252,1.19378,1.11885,1.32813,0.00012385,0.00012385,0.00012385
